"","alphaii","seii","alphaij","seij","alphaik","seik","alphaji","seji","alphajj","sejj","alphajk","sejk","alphaki","seki","alphakj","sekj","alphakk","sekk","betaiij","seiij","betaiik","seiik","betaijk","seijk","betajji","sejji","betajjk","sejjk","betajik","sejik","betakki","sekki","betakkj","sekkj","betakij","sekij","pi","pj","pk","rep","pij","pjk","pik"
"216",0.279519943618228,0.00498702450743912,1.25422957240794e-05,0.00483761442805265,1.97496722546078e-06,0.0048384477017882,0.19061454057691,0.0151805677831632,0.267123969249923,0.0109541338782082,0.103518274194263,0.0124966804340037,0.190614542276643,0.015180568747965,0.1035182744201,0.0124966823070956,0.267123978708216,0.0109541351659929,-2.37454302158492e-06,0.000952055809092819,3.3991911541724e-07,0.000953077630994539,-8.4703217489636e-07,0.000836661000972859,0.027482040476793,0.000952055809092819,0.00309156936149865,0.000953077630994539,0.0140175958014041,0.000836661000972859,0.0274820379758879,0.000952055809092819,0.0030915678378603,0.000953077630994539,0.0140175985944199,0.000836661000972859,0,5,5,12,5,0,5
"217",0.419304923291397,0.0109097161005866,0.0394930709457762,0.00988288112570114,0.0394930780817738,0.00988288075670248,0.0394930548525158,0.00988288239206923,0.419304905266663,0.0109097162816708,0.0394930533137915,0.00988288348512529,0.0394930729150182,0.00988288123575524,0.0394930880887769,0.00988288111709323,0.419304923822248,0.0109097170104652,0.00691814923293715,0.00231661778157851,0.006918146748934,0.00231661789745189,0.00196310842365324,0.00196985639955514,0.00691815066414982,0.00231661778157851,0.00691815115437304,0.00231661789745189,0.00196311219792331,0.00196985639955514,0.00691815016009939,0.00231661778157851,0.00691814554380618,0.00231661789745189,0.00196310656901318,0.00196985639955514,0,0,0,13,0,0,0
"218",0.413652186220014,0.0103288176291812,0.0372608479359873,0.00936899884263297,0.0196111603608702,0.00922542921344124,0.0372608480494603,0.00936899926322953,0.413652190622523,0.0103288168927538,0.0196111705946394,0.00922542943163316,0.0484614641995173,0.0102191487444906,0.0484614602081139,0.0102191488071273,0.414794700737169,0.0111149633620515,0.00724422531884873,0.00218915463171031,0.0105951012924767,0.00218156289604082,0.00302747392783029,0.00184817962992542,0.00724422619504277,0.00218915463171031,0.0105950990341181,0.00218156289604082,0.00302747323308801,0.00184817962992542,0.0123534413115533,0.00218915463171031,0.0123534423257061,0.00218156289604082,0.00245850485380599,0.00184817962992542,0,0,1,13,0,1,1
"219",0.409368997779206,0.0102442206079587,0.0359484538861219,0.00931475326720237,0.00810799473249651,0.00908052013911073,0.0359484487777543,0.00931475455306157,0.409368987128969,0.0102442206154939,0.00810796638432223,0.00908052428098426,0.0548454537431492,0.0109517896462091,0.054845455271595,0.0109517906304902,0.419977384521442,0.0118825551603589,0.00720357876908323,0.00214505926273397,0.00927267147190037,0.00212495966452361,0.00273709218108969,0.00180864400622737,0.00720357668108344,0.00214505926273397,0.00927267678158188,0.00212495966452361,0.00273709563110232,0.00180864400622737,0.0135790607027684,0.00214505926273397,0.0135790600230428,0.00212495966452361,0.00257479344923206,0.00180864400622737,0,0,2,13,0,2,2
"220",0.408655880622342,0.0100786575096888,0.0370195526701515,0.00918042780951384,0.00159716368446121,0.00888903527069388,0.0370196511455489,0.00918042807681501,0.408655997990936,0.010078658013746,0.00159738639562877,0.00888904425322248,0.0574228054239885,0.0113226417228343,0.0574227979609305,0.0113226405462531,0.421980814387835,0.0122749835646742,0.00646431901950791,0.0020706922678117,0.00526396066215352,0.00204334480599289,0.00165556001796096,0.00175265792929203,0.00646431904051484,0.0020706922678117,0.00526392584470874,0.00204334480599289,0.0016555309851824,0.00175265792929203,0.0141161485960891,0.0020706922678117,0.0141161514713434,0.00204334480599289,0.00235692386326759,0.00175265792929203,0,0,3,13,0,3,3
"221",0.413268609717656,0.00980907041979012,0.0407680435636907,0.00892377043909105,-4.30077310523978e-06,0.0086093331448009,0.0407720132036667,0.00892165663917547,0.413285095659542,0.00980436924575663,1.42266699970923e-05,0.00861246762539107,0.0570530720831597,0.0113830320851388,0.057053073528937,0.011383032196889,0.421872470521641,0.0123517347139703,0.00533775196505065,0.00197167332172374,5.00169521277386e-07,0.00194799813219922,1.17127706248099e-06,0.00168093226458284,0.00533814551930037,0.00197167332172374,-4.03193005441552e-06,0.00194799813219922,-3.96084836540569e-07,0.00168093226458284,0.014155109227875,0.00197167332172374,0.0141551084476902,0.00194799813219922,0.00189387036326862,0.00168093226458284,0,0,4,13,0,4,4
"222",0.413268609717656,0.00980907041979012,0.0407680435636907,0.00892377043909105,-4.30077310523978e-06,0.0086093331448009,0.0407720132036667,0.00892165663917547,0.413285095659542,0.00980436924575663,1.42266699970923e-05,0.00861246762539107,0.0551881495565291,0.0112679128461654,0.0551881373755454,0.0112679123404701,0.421733802607967,0.0122611251776856,0.00533775196505065,0.00197167332172374,5.00169521277386e-07,0.00194799813219922,1.17127706248099e-06,0.00168093226458284,0.00533814551930037,0.00197167332172374,-4.03193005441552e-06,0.00194799813219922,-3.96084836540569e-07,0.00168093226458284,0.0136747711554861,0.00197167332172374,0.0136747750340851,0.00194799813219922,0.00133887224148791,0.00168093226458284,0,0,5,13,0,5,5
"223",0.416251660642248,0.0118134073154639,0.0396970866809449,0.0107326298687995,0.0525488057502986,0.0109505295908657,0.039697109735405,0.0107326305523815,0.416251674565927,0.0118134083883055,0.0525488264321612,0.0109505290040582,-1.99629999802607e-05,0.00783858103232916,-2.01047086376345e-07,0.00787626598262516,0.404124230028542,0.0088676256236754,0.00677525848447029,0.00256813949662915,0.0133753752742908,0.00263029382824026,0.0042771797702542,0.00221814030471038,0.00677525540259026,0.00256813949662915,0.0133753737944544,0.00263029382824026,0.00427717540412846,0.00221814030471038,2.61273178251122e-06,0.00256813949662915,-2.52468693468703e-06,0.00263029382824026,2.49812963485087e-06,0.00221814030471038,5,5,0,13,0,-5,-5
"224",0.415079361350679,0.0117608732818207,0.0390050197161814,0.010689921836221,0.053796486200601,0.0109356327309819,0.0390050120345466,0.0106899200174473,0.415079340878181,0.0117608722763783,0.0537964880516372,0.0109356321206821,5.19616143064211e-06,0.00780946768303986,1.76413432454875e-05,0.00781186273691359,0.402496072416991,0.0087964065627722,0.00691947374056764,0.00256032237242062,0.0138215419281943,0.00262880992418311,0.00445060263544889,0.00221610272890071,0.00691947842836696,0.00256032237242062,0.0138215439964719,0.00262880992418311,0.00445060016953707,0.00221610272890071,7.27520179720144e-07,0.00256032237242062,-2.87772880264971e-06,0.00262880992418311,-2.16087068460096e-06,0.00221610272890071,5,5,1,13,0,-4,-4
"225",0.413870793524515,0.0116212806235433,0.0383261475914339,0.0105679022307428,0.0536866075865818,0.0108168994721537,0.0383261458888754,0.0105679032451917,0.413870792945388,0.0116212821508107,0.0536866036361002,0.0108168997353262,0.00324656109375215,0.00818820578978156,0.00324653550440656,0.00818819691821258,0.397951220800431,0.00918575077765476,0.00701651981696548,0.00252893110672017,0.0138875085524157,0.00259724790983276,0.00441228764578202,0.00218994614681007,0.00701651979796224,0.00252893110672017,0.0138875088197398,0.00259724790983276,0.00441228874136463,0.00218994614681007,0.00416772383644824,0.00252893110672017,0.00416773008961475,0.00259724790983276,0.000339782809176797,0.00218994614681007,5,5,2,13,0,-3,-3
